"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"HCMQI7U8","book","2016","Field Andy P","An adventure in statistics: the reality enigma","","978-1-4462-1044-4","","","","Andy Field., Once again, bestselling, award-winning author and teacher Andy Field hasn't just broken the traditional textbook mould with his new novel/textbook, he has forged in the fire of his imagination the only statistics book on the market with a terrifying probability bridge, zombies and talking cats!.","2016","2023-10-17 08:14:45","2023-10-17T08:14:45Z","","","","","","","","An adventure in statistics","","","","","SAGE Publications","London ;Thousand Oaks, California","eng","","","","","soeg.kb.dk","","","","","","","Lærebøger; Mathematics; Statistics; Statistik","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TY5VH65X","book","1993","Efron B; Tibshirani RJ; Efron Bradley; Tibshirani R J","An Introduction to the Bootstrap","","978-0-412-04231-7","","","","Efron, B,; Tibshirani, R.J.","1993","2023-10-17 08:14:45","2023-10-17T08:14:45Z","","","436","","","","","","Monographs on Statistics and Applied Probability 57.","","","","Chapman & Hall","","eng","","","","","soeg.kb.dk","","","","","","","Bootstrap (Statistics); Statistisk analyse; regressionsmodeller; sandsynlighed; statistik","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WJA7NQAY","book","2004","Good, Phillip I.","Permutation, Parametric, and Bootstrap Tests of Hypotheses","","978-0-387-20279-2","","","","","2004","2023-10-17 08:14:45","2023-10-17T08:14:45Z","","","","","","","","","","","","","Springer","New York, NY","eng","","","","","soeg.kb.dk","","","","","","","Resampling (Statistics)","","","","","","","","","","","","","","","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4KUT6VN5","book","","Poldrack, Copyright 2019 Russell A.","Statistical Thinking for the 21st Century","","","","","https://statsthinking21.github.io/statsthinking21-core-site/index.html","A book about statistics.","","2023-10-17 08:08:04","2023-10-17T08:08:04Z","2023-10-17 08:07:27","","","","","","","","","","","","","","","","","","","statsthinking21.github.io","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BWIDBMLH","journalArticle","2016","Szucs, Denes","A Tutorial on Hunting Statistical Significance by Chasing N","Frontiers in Psychology","","1664-1078","","https://www.frontiersin.org/articles/10.3389/fpsyg.2016.01444","There is increasing concern about the replicability of studies in psychology and cognitive neuroscience. Hidden data dredging (also called p-hacking) is a major contributor to this crisis because it substantially increases Type I error resulting in a much larger proportion of false positive findings than the usually expected 5%. In order to build better intuition to avoid, detect and criticize some typical problems, here I systematically illustrate the large impact of some easy to implement and so, perhaps frequent data dredging techniques on boosting false positive findings. I illustrate several forms of two special cases of data dredging. First, researchers may violate the data collection stopping rules of null hypothesis significance testing by repeatedly checking for statistical significance with various numbers of participants. Second, researchers may group participants post hoc along potential but unplanned independent grouping variables. The first approach ‘hacks’ the number of participants in studies, the second approach ‘hacks’ the number of variables in the analysis. I demonstrate the high amount of false positive findings generated by these techniques with data from true null distributions. I also illustrate that it is extremely easy to introduce strong bias into data by very mild selection and re-testing. Similar, usually undocumented data dredging steps can easily lead to having 20–50%, or more false positives.","2016","2023-10-17 08:05:58","2023-10-17T08:05:58Z","2023-10-17 07:53:31","","","","7","","","","","","","","","","","","","","","Frontiers","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JDAW97WV","journalArticle","2015","Nuzzo, Regina","How scientists fool themselves – and how they can stop","Nature","","1476-4687","10.1038/526182a","https://www.nature.com/articles/526182a","Humans are remarkably good at self-deception. But growing concern about reproducibility is driving many researchers to seek ways to fight their own worst instincts.","2015-10-01","2023-10-17 08:05:58","2023-10-17T08:05:58Z","2023-10-17 07:10:07","182-185","","7572","526","","","","","","","","","","en","2015 Springer Nature Limited","","","","www.nature.com","","Number: 7572 Publisher: Nature Publishing Group","","","","","Lab life; Research management","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YB3X9FH9","journalArticle","1995","Benjamini, Yoav; Hochberg, Yosef","Controlling the False Discovery Rate: A Practical and Powerful Approach to Multiple Testing","Journal of the Royal Statistical Society. Series B (Methodological)","","0035-9246","","https://www.jstor.org/stable/2346101","The common approach to the multiplicity problem calls for controlling the familywise error rate (FWER). This approach, though, has faults, and we point out a few. A different approach to problems of multiple significance testing is presented. It calls for controlling the expected proportion of falsely rejected hypotheses-the false discovery rate. This error rate is equivalent to the FWER when all hypotheses are true but is smaller otherwise. Therefore, in problems where the control of the false discovery rate rather than that of the FWER is desired, there is potential for a gain in power. A simple sequential Bonferroni-type procedure is proved to control the false discovery rate for independent test statistics, and a simulation study shows that the gain in power is substantial. The use of the new procedure and the appropriateness of the criterion are illustrated with examples.","1995","2023-10-17 08:05:58","2023-10-17T08:05:58Z","2023-10-17 07:48:18","289-300","","1","57","","","Controlling the False Discovery Rate","","","","","","","","","","","","JSTOR","","Publisher: [Royal Statistical Society, Wiley]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PDWB7XAI","journalArticle","2009","Banerjee, Amitav; Chitnis, U. B.; Jadhav, S. L.; Bhawalkar, J. S.; Chaudhury, S.","Hypothesis testing, type I and type II errors","Industrial Psychiatry Journal","","0972-6748","10.4103/0972-6748.62274","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2996198/","Hypothesis testing is an important activity of empirical research and evidence-based medicine. A well worked up hypothesis is half the answer to the research question. For this, both knowledge of the subject derived from extensive review of the literature and working knowledge of basic statistical concepts are desirable. The present paper discusses the methods of working up a good hypothesis and statistical concepts of hypothesis testing.","2009","2023-10-17 08:05:58","2023-10-17T08:05:58Z","2023-10-17 07:29:00","127-131","","2","18","","Ind Psychiatry J","","","","","","","","","","","","","PubMed Central","","PMID: 21180491 PMCID: PMC2996198","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ABA2NNJC","report","2017","Pernet, Cyril","Null hypothesis significance testing: a guide to commonly misunderstood concepts and recommendations for good practice","","","","","https://f1000research.com/articles/4-621","Although thoroughly criticized, null hypothesis significance testing (NHST) remains the statistical method of choice used to provide evidence for an effect, in biological, biomedical and social sciences. In this short guide, I first summarize the concepts behind the method, distinguishing test of significance (Fisher) and test of acceptance (Newman-Pearson) and point to common interpretation errors regarding the p-value. I then present the related concepts of confidence intervals and again point to common interpretation errors. Finally, I discuss what should be reported in which context. The goal is to clarify concepts to avoid interpretation errors and propose simple reporting practices.","2017-10-12","2023-10-17 08:05:58","2023-10-17T08:05:58Z","2023-10-17 07:30:17","","","","","","","Null hypothesis significance testing","","","","","F1000Research","","en","http://creativecommons.org/licenses/by/4.0/","","","","f1000research.com","","DOI: 10.12688/f1000research.6963.5 Type: article","","","","","confidence intervals; null hypothesis significance testing; p-value; reporting; tutorial","","","","","","","","","","","","","","","","","","","4:621","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Q8GPIILD","journalArticle","2000","Nickerson, R. S.","Null hypothesis significance testing: a review of an old and continuing controversy","Psychological Methods","","1082-989X","10.1037/1082-989x.5.2.241","","Null hypothesis significance testing (NHST) is arguably the most widely used approach to hypothesis evaluation among behavioral and social scientists. It is also very controversial. A major concern expressed by critics is that such testing is misunderstood by many of those who use it. Several other objections to its use have also been raised. In this article the author reviews and comments on the claimed misunderstandings as well as on other criticisms of the approach, and he notes arguments that have been advanced in support of NHST. Alternatives and supplements to NHST are considered, as are several related recommendations regarding the interpretation of experimental data. The concluding opinion is that NHST is easily misunderstood and misused but that when applied with good judgment it can be an effective aid to the interpretation of experimental data.","2000-06","2023-10-17 08:05:58","2023-10-17T08:05:58Z","","241-301","","2","5","","Psychol Methods","Null hypothesis significance testing","","","","","","","eng","","","","","PubMed","","PMID: 10937333","","","","","Data Interpretation, Statistical; Humans; Psychology, Experimental; Psychometrics; Reproducibility of Results","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EFMX227F","webpage","","Weisstein, Eric W.","Bonferroni Correction","","","","","https://mathworld.wolfram.com/","The Bonferroni correction is a multiple-comparison correction used when several dependent or independent statistical tests are being performed simultaneously (since while a given alpha value alpha may be appropriate for each individual comparison, it is not for the set of all comparisons). In order to avoid a lot of spurious positives, the alpha value needs to be lowered to account for the number of comparisons being performed. The simplest and most conservative approach is the Bonferroni...","","2023-10-17 08:05:58","2023-10-17T08:05:58Z","2023-10-17 07:51:56","","","","","","","","","","","","","","en","Copyright 1999-2023 Wolfram Research, Inc.  See https://mathworld.wolfram.com/about/terms.html for a full terms of use statement.","Text","","","","","Publisher: Wolfram Research, Inc.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Q57WXSD2","journalArticle","2015","","Let’s think about cognitive bias","Nature","","1476-4687","10.1038/526163a","https://www.nature.com/articles/526163a","The human brain’s habit of finding what it wants to find is a key problem for research. Establishing robust methods to avoid such bias will make results more reproducible.","2015-10","2023-10-17 08:05:58","2023-10-17T08:05:58Z","2023-10-17 07:49:52","163-163","","7572","526","","","","","","","","","","en","2015 Springer Nature Limited","","","","www.nature.com","","Number: 7572 Publisher: Nature Publishing Group","","","","","Research management","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QXKWWN7Z","blogPost","2015","Charpentier, Arthur","p-hacking, or cheating on a p-value","Freakonometrics","","","","https://freakonometrics.hypotheses.org/19817","Yesterday evening, I discovered some interesting slides on False-Positives, p-Hacking, Statistical Power, and Evidential Value, via @UCBITSS ‘s post on Twitter. More precisely, there was this slide on how cheating (because that’s basically what it is) to get a ‘good’ model (by targeting the p-value) As mentioned by @david_colquhoun  one should be careful when reading the slides : some statistician … Continue reading p-hacking, or cheating on a p-value →","2015-06-11","2023-10-17 08:05:58","2023-10-17T08:05:58Z","2023-10-17 07:53:50","","","","","","","","","","","","","","en-US","","Billet","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"G7NIIQ2S","journalArticle","2017","Eglen, Stephen J.; Marwick, Ben; Halchenko, Yaroslav O.; Hanke, Michael; Sufi, Shoaib; Gleeson, Padraig; Silver, R. Angus; Davison, Andrew P.; Lanyon, Linda; Abrams, Mathew; Wachtler, Thomas; Willshaw, David J.; Pouzat, Christophe; Poline, Jean-Baptiste","Toward standard practices for sharing computer code and programs in neuroscience","Nature Neuroscience","","1546-1726","10.1038/nn.4550","https://www.nature.com/articles/nn.4550","Computational techniques are central in many areas of neuroscience and are relatively easy to share. This paper describes why computer programs underlying scientific publications should be shared and lists simple steps for sharing. Together with ongoing efforts in data sharing, this should aid reproducibility of research.","2017-06","2023-10-17 08:05:58","2023-10-17T08:05:58Z","2023-10-17 07:54:16","770-773","","6","20","","Nat Neurosci","","","","","","","","en","2017 Springer Nature America, Inc.","","","","www.nature.com","","Number: 6 Publisher: Nature Publishing Group","","","","","Neuroscience; Scientific community","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IQ3WZILW","journalArticle","2021","Bannier, Elise; Barker, Gareth; Borghesani, Valentina; Broeckx, Nils; Clement, Patricia; Emblem, Kyrre E.; Ghosh, Satrajit; Glerean, Enrico; Gorgolewski, Krzysztof J.; Havu, Marko; Halchenko, Yaroslav O.; Herholz, Peer; Hespel, Anne; Heunis, Stephan; Hu, Yue; Hu, Chuan-Peng; Huijser, Dorien; de la Iglesia Vayá, María; Jancalek, Radim; Katsaros, Vasileios K.; Kieseler, Marie-Luise; Maumet, Camille; Moreau, Clara A.; Mutsaerts, Henk-Jan; Oostenveld, Robert; Ozturk-Isik, Esin; Pascual Leone Espinosa, Nicolas; Pellman, John; Pernet, Cyril R; Pizzini, Francesca Benedetta; Trbalić, Amira Šerifović; Toussaint, Paule-Joanne; Visconti di Oleggio Castello, Matteo; Wang, Fengjuan; Wang, Cheng; Zhu, Hua","The Open Brain Consent: Informing research participants and obtaining consent to share brain imaging data","Human Brain Mapping","","1097-0193","10.1002/hbm.25351","https://onlinelibrary.wiley.com/doi/abs/10.1002/hbm.25351","Having the means to share research data openly is essential to modern science. For human research, a key aspect in this endeavor is obtaining consent from participants, not just to take part in a study, which is a basic ethical principle, but also to share their data with the scientific community. To ensure that the participants' privacy is respected, national and/or supranational regulations and laws are in place. It is, however, not always clear to researchers what the implications of those are, nor how to comply with them. The Open Brain Consent (https://open-brain-consent.readthedocs.io) is an international initiative that aims to provide researchers in the brain imaging community with information about data sharing options and tools. We present here a short history of this project and its latest developments, and share pointers to consent forms, including a template consent form that is compliant with the EU general data protection regulation. We also share pointers to an associated data user agreement that is not only useful in the EU context, but also for any researchers dealing with personal (clinical) data elsewhere.","2021","2023-06-27 09:12:31","2023-06-27T09:12:31Z","2023-06-27 09:12:31","1945-1951","","7","42","","","The Open Brain Consent","","","","","","","en","© 2021 The Authors. Human Brain Mapping published by Wiley Periodicals LLC.","","","","Wiley Online Library","","_eprint: https://onlinelibrary.wiley.com/doi/pdf/10.1002/hbm.25351","","","","","brain imaging; general data protection regulation; informed consent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JRLYZWL6","journalArticle","2010","Allen, M David; Seligman, Len; Blaustein, Barbara; Chapman, Adriane","Provenance Capture and Use: A Practical Guide","","","","","","There is a widespread recognition across MITRE’s sponsors of the importance of capturing the provenance of information (sometimes called lineage or pedigree). However, the technology for supporting capture and usage of provenance is relatively immature. While there has been much research, few commercial capabilities exist. In addition, there is neither a commonly understood concept of operations nor established best practices for how to capture and use provenance information in a consistent and principled way. This document captures lessons learned from the IM-PLUS project, which is prototyping a provenance capability that synthesizes prior research; the project is also applying the prototype to government application scenarios spanning defense, homeland security, and bio-surveillance. We describe desirable features of a provenance capability and trade-offs among alternate provenance approaches. The target audience is systems engineers and information architects advising our sponsors on how to improve their information management.","2010","2023-06-27 08:13:06","2023-06-27T08:13:06Z","","","","","","","","","","","","","","","en","","","","","Zotero","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RX9NY5CS","blogPost","","Vukovic, Nikola","Setting up an Organised Folder Structure for Research Projects","","","","","http://nikola.me/folder_structure.html","","","2023-06-27 08:11:40","2023-06-27T08:11:40Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"A79C43C2","blogPost","","","GIN-TONIC: a digital shelf for your research files","","","","","","","","2023-06-27 08:10:55","2023-06-27T08:10:55Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"52H22CAS","blogPost","","Glerean, Enrico","Project management == Data management","","","","","https://eglerean.wordpress.com/2017/05/24/project-management-data-management/","","","2023-06-27 08:10:12","2023-06-27T08:10:12Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"I9IQQ7VP","journalArticle","2017","Munafò, Marcus R.; Nosek, Brian A.; Bishop, Dorothy V. M.; Button, Katherine S.; Chambers, Christopher D.; Percie Du Sert, Nathalie; Simonsohn, Uri; Wagenmakers, Eric-Jan; Ware, Jennifer J.; Ioannidis, John P. A.","A manifesto for reproducible science","Nature Human Behaviour","","2397-3374","10.1038/s41562-016-0021","https://www.nature.com/articles/s41562-016-0021","Abstract             Improving the reliability and efficiency of scientific research will increase the credibility of the published scientific literature and accelerate discovery. Here we argue for the adoption of measures to optimize key elements of the scientific process: methods, reporting and dissemination, reproducibility, evaluation and incentives. There is some evidence from both simulations and empirical studies supporting the likely effectiveness of these measures, but their broad adoption by researchers, institutions, funders and journals will require iterative evaluation and improvement. We discuss the goals of these measures, and how they can be implemented, in the hope that this will facilitate action toward improving the transparency, reproducibility and efficiency of scientific research.","2017-01-10","2023-06-27 08:08:34","2023-06-27T08:08:34Z","2023-06-27 08:08:34","0021","","1","1","","Nat Hum Behav","","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
